X_values	Y_values	Cluster_no
-3.827	-5.7174	3
-3.2746	-4.2221	3
-5.2882	-5.316	3
-3.4058	-6.4065	3
-5.7871	-5.9297	3
-4.9978	-3.3942	3
-5.0931	-5.6615	3
-4.6218	-7.1385	3
-4.9562	-3.4591	3
-5.9608	-4.7969	3
-6.7382	-4.5	3
-4.5698	-5.383	3
-5.1663	-5.4055	3
-5.3763	-4.6362	3
-4.773	-4.4007	3
-3.8511	-4.4104	3
-2.6405	-3.147	3
-4.49	-4.7927	3
-3.6784	-5.2704	3
-4.3639	-4.3472	3
-5.138	-4.9287	3
-4.2893	-4.0617	3
-5.777	-5.1614	3
-5.6224	-4.7318	3
-4.5744	-4.2887	3
-6.0486	-5.0614	3
-5.6607	-3.1539	3
-7.5088	-4.6017	3
-6.1569	-4.0881	3
-5.053	-5.6527	3
-3.7116	-4.2657	3
-4.6288	-5.5406	3
-4.436	-4.8431	3
-5.5551	-5.2778	3
-4.4432	-5.6395	3
-4.1049	-4.919	3
-4.8391	-3.7374	3
-5.4093	-6.1104	3
-4.0474	-4.0104	3
-5.3173	-3.1712	3
-6.3244	-4.9373	3
-4.7868	-5.4489	3
-4.8655	-4.6367	3
-3.8286	-3.9794	3
-5.3105	-5.6263	3
-4.7505	-4.7133	3
-5.5037	-4.8027	3
-4.1073	-5.4056	3
-5.1222	-4.2706	3
-6.047	-6.1473	3
-4.7731	-5.5979	3
-4.8375	-3.7187	3
-5.5558	-4.4288	3
-3.8797	-5.214	3
-3.4673	-5.9424	3
-3.9021	-5.0937	3
-5.0596	-5.3062	3
-4.5887	-3.8277	3
-4.632	-4.039	3
-3.639	-4.3463	3
-5.4394	-4.729	3
-4.9104	-4.1	3
-6.0212	-4.7143	3
-4.126	-4.5376	3
-5.3484	-4.4965	3
-5.3493	-6.2333	3
-4.2708	-5.6103	3
-5.3268	-5.0591	3
-4.1036	-3.3742	3
-3.7967	-3.0352	3
-6.0378	-7.6052	3
-4.1541	-5.9724	3
-3.7913	-4.0258	3
-4.7029	-3.8536	3
-1.768	-5.5476	3
-3.913	-6.5651	3
-3.9855	-4.5506	3
-4.7867	-4.9157	3
-4.6747	-3.008	3
-6.9444	-5.8412	3
-4.75	-6.9122	3
-3.4307	-4.6091	3
-4.5226	-5.4092	3
-3.662	-3.8576	3
-5.8531	-3.8313	3
-5.4043	-5.3926	3
-4.2994	-6.3018	3
-3.3695	-4.4064	3
-7.05	-4.4956	3
-5.1205	-5.1021	3
-4.0101	-6.1963	3
-6.1978	-5.1203	3
-4.5302	-4.1429	3
-5.8864	-4.8301	3
-3.6148	-4.8083	3
-3.0432	-4.1342	3
-5.4007	-6.2665	3
-5.0951	-4.7488	3
-5.4967	-4.7954	3
-6.0822	-2.7985	3
-4.4314	-3.6067	3
-5.81	-4.6138	3
-5.1732	-5.5256	3
-4.4945	-6.5233	3
-5.647	-4.8831	3
-4.6464	-4.6798	3
-5.0464	-5.8175	3
-4.2071	-5.4902	3
-5.1716	-5.7783	3
-4.9379	-3.5197	3
-6.199	-5.5404	3
-5.8017	-4.9085	3
-4.2511	-4.3064	3
-4.0637	-6.2815	3
-3.7309	-4.1903	3
-5.498	-3.7632	3
7.0108	-4.2827	5
5.0256	-6.3049	5
5.3083	-6.0059	5
4.0618	-4.2093	5
5.125	-4.4469	5
5.5301	-5.9606	5
4.0479	-6.6338	5
5.854	-4.2388	5
3.844	-3.3679	5
5.0397	-6.5322	5
4.5494	-6.3369	5
5.1092	-6.4738	5
4.8101	-5.6155	5
3.9671	-3.6858	5
4.6767	-6.4551	5
5.7665	-6.7423	5
3.8395	-3.8071	5
7.3774	-5.8028	5
6.5261	-6.2656	5
5.1685	-5.1493	5
4.3013	-4.9827	5
5.8328	-4.1716	5
4.3054	-4.7823	5
4.5381	-6.9092	5
5.4359	-5.302	5
5.8967	-3.1864	5
5.5047	-4.0851	5
4.5991	-5.0571	5
5.7964	-6.0447	5
4.3288	-5.3483	5
6.1867	-3.5874	5
5.7907	-3.4976	5
5.0032	-4.5092	5
5.3656	-5.5861	5
8.5267	-4.2551	5
4.8876	-5.8282	5
6.9151	-4.7182	5
5.6098	-3.8607	5
4.3521	-5.4259	5
7.6173	-4.3639	5
5.2942	-5.8984	5
4.2222	-4.8438	5
3.9351	-3.4027	5
3.2316	-4.8876	5
3.9469	-4.5433	5
5.6478	-5.2751	5
4.6824	-4.5569	5
6.769	-5.1348	5
5.164	-4.5392	5
4.7172	-3.6377	5
6.1522	-4.5481	5
3.8535	-3.3516	5
4.3309	-5.4493	5
4.5997	-4.764	5
4.3282	-5.8352	5
5.5756	-6.276	5
3.9364	-4.3873	5
5.553	-4.7106	5
4.5766	-4.6047	5
5.3616	-5.8706	5
5.2695	-5.1067	5
2.4356	-5.6878	5
5.4659	-4.6681	5
6.8536	-2.6348	5
5.9109	-4.3526	5
4.7603	-6.0344	5
5.181	-3.6604	5
5.2442	-5.9691	5
4.1695	-5.6186	5
4.6477	-4.488	5
4.8252	-4.9886	5
4.5193	-5.044	5
7.5383	-5.63	5
3.6767	-5.0469	5
5.1283	-2.317	5
3.5576	-6.1467	5
6.4099	-6.0765	5
3.3375	-3.9694	5
6.9437	-4.6725	5
3.9153	-4.3479	5
6.0989	-4.7548	5
5.1472	-3.5275	5
7.2957	-7.2751	5
7.7526	-6.6333	5
3.0929	-5.6548	5
4.635	-5.2963	5
4.1519	-6.4969	5
4.2352	-5.9048	5
5.0782	-5.7258	5
7.1066	-5.8665	5
4.2842	-5.4218	5
4.7195	-5.9427	5
6.2128	-5.9884	5
5.4855	-3.1821	5
6.026	-5.3744	5
5.8707	-6.4517	5
5.4289	-4.0655	5
4.7009	-3.9441	5
4.1001	-4.8398	5
5.6347	-4.7126	5
4.8129	-6.459	5
5.2917	-5.5817	5
5.9877	-6.8301	5
5.3929	-5.4491	5
5.2798	-4.2826	5
5.0512	-2.7122	5
4.2255	-4.8333	5
5.7868	-7.1565	5
4.4659	-3.7177	5
6.9278	-5.5826	5
4.8238	-4.7774	5
4.7562	-4.2205	5
4.2077	-4.3036	5
4.047	-5.1127	5
5.3539	-5.0388	5
6.597	-4.9119	5
5.8542	-3.577	5
6.3418	-4.9937	5
2.5005	-4.3135	5
4.8324	-5.8549	5
-5.091	4.8461	0
-5.2528	4.7248	0
-3.8052	5.2411	0
-4.3939	5.7547	0
-6.4449	5.4584	0
-5.9677	6.7553	0
-4.7979	5.9315	0
-5.3479	5.8253	0
-3.6588	4.4658	0
-5.5808	5.2426	0
-4.1249	4.8994	0
-3.6046	3.375	0
-3.3766	6.0262	0
-3.9376	4.2419	0
-4.7859	7.0783	0
-4.1232	2.778	0
-5.4149	5.0006	0
-4.6415	4.2438	0
-4.9638	5.4043	0
-5.3646	4.2061	0
-4.7787	5.0669	0
-2.2696	3.3606	6
-5.2962	2.5753	0
-4.4357	4.7162	0
-2.2708	5.1812	0
-4.6964	5.0543	0
-5.7903	5.6878	0
-4.1966	3.6066	0
-5.2738	4.1061	0
-4.7281	5.0378	0
-3.5104	4.6364	0
-3.5629	5.1496	0
-4.0761	6.5239	0
-5.3213	5.5458	0
-4.3389	7.0099	0
-3.0847	6.4167	0
-5.3005	4.061	0
-5.5	3.2611	0
-4.2835	5.017	0
-3.6627	5.2192	0
-4.946	4.049	0
-4.837	5.7948	0
-5.6327	5.0714	0
-3.388	4.2263	0
-5.4732	5.2657	0
-2.8158	4.7649	0
-4.1901	6.8773	0
-4.2837	5.6092	0
-4.566	5.2775	0
-4.4799	5.087	0
-6.0922	5.1736	0
-5.2258	5.4536	0
-4.4721	4.203	0
-6.007	5.3606	0
-3.911	6.8851	0
-3.2151	4.6932	0
-5.0087	4.7615	0
-4.4934	4.516	0
-3.7967	4.6727	0
-4.478	5.4755	0
-5.4828	4.4056	0
-5.2315	4.5562	0
-4.3866	3.6775	0
-3.3171	4.1405	0
-6.206	4.484	0
-4.5669	3.9149	0
-5.0921	4.2928	0
-5.2441	4.6983	0
-5.8798	4.9806	0
-5.3208	5.3404	0
-5.7844	4.0368	0
-5.365	6.1139	0
-4.8257	4.6082	0
-5.2157	3.5153	0
-5.1526	4.6554	0
-4.9663	3.6761	0
-3.7184	4.2593	0
-4.3799	3.815	0
-5.2867	2.9351	0
-4.402	5.5651	0
-6.7807	7.2233	0
-7.3472	4.5078	0
-6.7136	4.954	0
-5.2371	4.5343	0
-5.7202	4.0812	0
-4.9593	3.0805	0
-5.659	4.9636	0
-5.6305	3.7749	0
-4.2177	7.3742	0
-2.5634	4.7667	0
-4.6976	5.4039	0
-4.9417	6.1925	0
-5.1952	5.4131	0
-5.0505	5.5017	0
-6.7558	5.0831	0
-5.2574	5.1578	0
-5.5708	5.7231	0
-4.5058	4.1501	0
-4.0086	4.2036	0
-3.9229	5.7253	0
-7.2598	4.6136	0
-5.5644	4.4949	0
-4.0985	5.4081	0
-4.6053	6.0724	0
-4.5631	5.2701	0
-3.8699	4.3656	0
-4.8462	5.6298	0
-5.7586	4.9208	0
-5.2078	3.5918	0
-4.1033	5.1412	0
-4.5877	6.2897	0
-4.4525	4.5051	0
-5.3623	4.0664	0
-4.9389	4.7213	0
-4.7833	4.7995	0
-6.3981	5.1367	0
-4.0724	5.0825	0
-5.1102	4.3961	0
-3.4276	4.6313	0
-4.4395	4.1618	0
3.8226	1.3617	2
-0.1422	1.6653	6
1.1237	1.0692	6
1.1481	1.536	6
0.3834	-3.4086	2
2.4882	0.939	2
-2.3283	-0.1086	6
3.2705	-1.4977	2
-2.299	-0.011	6
2.2203	2.4002	6
2.3651	-2.068	2
3.4147	-1.6951	2
3.2788	-1.775	2
0.5269	0.2425	6
-2.927	-0.8038	6
-1.5523	2.1934	6
3.5859	-0.814	2
-2.3663	-1.2774	6
-0.2224	-0.8098	2
-1.3135	4.7877	0
-1.7922	-0.4052	6
2.663	-0.3951	2
-1.2491	3.0326	6
1.5534	-3.4644	2
3.0006	-1.4386	2
-4.4058	-0.5467	6
0.645	1.3548	6
0.842	-1.8729	2
-1.9329	-0.1491	6
1.2187	-2.7976	2
-2.0724	0.3846	6
-0.0565	1.1608	6
-4.1621	-1.132	3
-0.0895	-0.0323	6
2.2359	1.2446	2
-3.299	1.0669	6
0.9886	-2.5433	2
-1.1769	0.5452	6
-0.0478	0.6349	6
4.3826	2.9967	1
0.9602	-0.7086	2
0.4151	0.8685	6
0.6442	-0.203	2
-0.0118	4.0575	6
-0.5027	-4.7275	2
-3.3869	1.4597	6
-1.168	-2.798	2
0.4689	2.6298	6
1.2073	-0.6883	2
4.4419	-1.9601	2
-3.3083	3.7147	0
1.3608	0.6191	2
-0.076	-1.3898	2
-1.3863	-0.3608	6
-0.2551	2.5126	6
1.3607	3.8215	6
-3.2113	0.8543	6
1.8124	0.6467	2
0.499	-3.2979	2
3.7885	0.2807	2
-1.4441	-0.8555	6
-3.5044	-0.3017	6
0.0072	-5.7816	2
1.9903	-1.4691	2
-1.0382	0.2416	6
-0.5893	-1.0318	6
-0.3211	-0.6817	6
2.047	-2.16	2
-0.9653	-1.166	6
1.2693	-0.3723	2
-2.7289	1.1759	6
1.1972	-0.0421	2
4.2787	-1.671	2
-1.2976	1.9572	6
0.8472	0.471	6
0.2357	1.1321	6
1.7511	1.6154	6
-4.4526	3.0251	0
-3.8922	-0.8633	6
-2.6192	1.0851	6
1.9679	-0.0175	2
-2.5028	3.8239	0
-0.3595	-1.9572	2
-1.4868	-0.9723	6
4.2027	0.0524	2
-1.7533	-0.4456	6
3.8976	-0.9594	2
-0.9305	1.6492	6
1.2193	-1.6135	2
1.4182	3.4257	6
0.5596	1.8243	6
-2.9349	2.9777	0
-1.736	3.8316	6
-1.025	1.8394	6
-1.5642	-3.6162	3
0.8516	-2.5306	2
-0.5013	-0.2324	6
1.1085	-0.2876	2
1.5178	2.1495	6
0.2677	3.4044	6
-1.0853	0.2547	6
-2.3262	4.5019	0
-0.547	-0.0214	6
0.319	-0.9011	2
0.4358	-1.4713	2
0.0925	0.1634	6
1.3406	-1.7217	2
-1.261	-3.7168	3
0.4841	0.8724	6
-0.7522	2.1826	6
0.5609	2.4052	6
-3.5489	4.6257	0
0.9236	2.7291	6
-0.0024	0.1634	6
-0.7059	-0.9356	6
-0.866	-0.8528	6
2.1914	1.2995	2
1.2715	-3.6124	2
-2.1744	2.0494	6
-2.9545	1.6505	6
-0.42393333333333333	4.44594	6
-0.2514666666666666	5.25758	6
-0.41809999999999997	5.80193	0
0.24156666666666665	5.14647	6
0.24399999999999997	5.05508	6
0.5773666666666666	5.60348	4
0.3846333333333333	5.5540400000000005	6
-0.24860000000000004	6.57401	4
0.4716333333333333	6.37069	4
-0.05790000000000006	5.92741	0
1.3094666666666666	5.89073	4
-0.1499666666666667	6.51241	4
0.9192666666666667	5.843859999999999	4
0.9512333333333333	6.475809999999999	4
1.5238	7.52685	4
1.1148666666666667	6.62958	4
0.9642	6.72048	4
2.0295666666666667	6.08527	4
2.0291333333333332	7.201930000000001	4
1.9431999999999998	8.13799	4
2.0965333333333334	6.88956	4
2.1471	7.05337	4
2.0637666666666665	7.8129800000000005	4
2.249133333333333	7.50106	4
2.0813666666666664	7.7287	4
2.408533333333333	6.89874	4
1.8373000000000002	7.794970000000001	4
2.267066666666667	8.44199	4
3.0207000000000006	8.86569	4
2.702866666666668	8.789470000000001	4
3.0805333333333347	8.88982	4
2.9113000000000016	9.36238	4
2.686133333333335	8.62223	4
2.857600000000002	8.353140000000002	4
2.552566666666669	8.50634	4
3.1271333333333358	9.05071	4
3.1154666666666695	8.676540000000001	4
3.1105333333333363	9.60437	4
3.6291000000000033	8.5315	4
2.48486666666667	8.70542	4
2.976200000000004	8.6899	4
3.7504666666666706	9.494570000000001	4
3.6716333333333377	9.00292	4
3.5665000000000044	10.05727	4
3.942033333333338	10.129209999999999	4
4.362300000000005	8.010720000000001	4
4.207966666666672	9.43441	4
4.631333333333339	9.42118	4
4.076266666666672	9.45689	4
3.458133333333338	10.23612	4
4.257300000000004	10.31164	4
4.537466666666671	9.07195	4
5.041400000000004	9.83962	4
4.22926666666667	9.014479999999999	4
4.845033333333337	9.35303	4
4.426200000000003	9.15387	4
4.364733333333336	9.7479	4
4.074500000000002	9.8082	4
5.627066666666669	9.520480000000001	4
3.709733333333335	8.97795	4
4.074366666666668	9.58974	4
4.461833333333335	8.34467	4
3.804100000000001	8.841190000000001	4
5.567766666666667	8.63518	4
4.8845	9.63464	4
4.816166666666667	10.5587	4
4.874333333333333	9.35665	4
5.4608	8.80558	4
5.936733333333333	9.5243	4
5.755099999999999	9.78129	4
5.695566666666665	9.01426	4
6.259433333333332	9.21303	4
5.894366666666665	9.26491	4
6.148733333333331	9.15933	4
6.1332999999999975	8.91794	4
5.953666666666664	8.85363	4
7.0010999999999965	8.699679999999999	4
6.502866666666663	8.89893	4
6.01993333333333	8.36087	4
6.013499999999996	9.13309	4
6.601033333333329	8.9534	4
6.393399999999995	8.66708	4
6.932666666666662	8.255749999999999	4
6.341033333333328	8.52841	4
6.270666666666661	8.28508	4
5.906433333333327	9.5469	4
7.095899999999994	9.166599999999999	4
6.775666666666661	8.69958	4
8.086299999999992	8.54412	4
7.16056666666666	8.255460000000001	4
7.0499333333333265	8.4546	4
7.4917999999999925	8.51781	4
8.426033333333326	7.66641	1
7.625899999999992	7.66909	1
8.469466666666658	7.324050000000001	1
8.551933333333325	7.0217	1
7.876966666666657	7.68155	1
7.895733333333324	6.80397	1
9.03789999999999	6.64296	1
7.897466666666657	7.290940000000001	1
8.44339999999999	6.28896	1
8.716766666666656	6.667	1
8.351833333333323	6.2691300000000005	1
8.424699999999989	7.01534	1
9.594733333333322	5.53263	1
8.900699999999988	6.6955	1
8.592866666666655	6.37965	1
9.134233333333322	5.6371	1
8.542566666666653	5.38864	1
9.245933333333321	4.776249999999999	1
8.958799999999988	5.03834	1
10.092066666666653	5.7700000000000005	1
8.837699999999986	5.738519999999999	1
9.411166666666652	5.35805	1
9.75783333333332	5.61648	1
10.650299999999985	3.8556800000000004	1
10.019133333333318	4.41466	1
10.400399999999985	4.43371	1
10.121066666666652	4.86076	1
9.498433333333317	3.85171	1
